optimizer,evaluations,runs,best_mae_median,best_mae_q25,best_mae_q75,gap_closed,gap_closed_q25,gap_closed_q75,cap,share_of_evaluations_meeting_cap,share_of_random_meeting_cap,median_random_meeting_cap,best_known_meeting_cap
random search,1,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,2,50,inf,0.33598055362617796,,-3.1401975801648203,-3.1401975801648203,0.01837810261578978,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,3,50,0.35160422594768365,0.3322625508396442,,-0.13834563395949362,-3.1401975801648203,0.05567402621889883,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,4,50,0.34702524472741103,0.3265647524331179,,-0.092413088026527,-3.1401975801648203,0.11282961922850948,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,5,50,0.3342087126861102,0.32330701347260427,0.3651972275581198,0.03615174296296023,-0.2746993643644137,0.1455085574558422,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,6,50,0.3342087126861102,0.32330701347260427,0.356822551637927,0.03615174296296023,-0.1906915539207051,0.1455085574558422,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,7,50,0.33349896501893295,0.32176309475691467,0.3507841553769856,0.04327134353679589,-0.13011936541965,0.16099587088076123,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,8,50,0.3311126909224737,0.3174620762789824,0.34261117193746515,0.06720846825331425,-0.048134766840580955,0.20414012487366148,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,9,50,0.32873434740437524,0.31637166141781026,0.33860338627877107,0.09106603997817192,-0.007931981547984801,0.21507826335630725,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,10,50,0.32651992002094576,0.31632866504698665,0.3366135647907261,0.11327934084393462,0.01202825906042393,0.2155095673260778,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,11,50,0.32651992002094576,0.31632866504698665,0.33594748873919156,0.11327934084393462,0.018709782167902193,0.2155095673260778,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,12,50,0.32651992002094576,0.31339062999400313,0.33594748873919156,0.11327934084393462,0.018709782167902193,0.24498150082655978,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,13,50,0.3249361272549512,0.31339062999400313,0.33594748873919156,0.1291666377060114,0.018709782167902193,0.24498150082655978,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,14,50,0.3249361272549512,0.31339062999400313,0.33594748873919156,0.1291666377060114,0.018709782167902193,0.24498150082655978,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,15,50,0.3249361272549512,0.30889932791134966,0.33572696501578114,0.1291666377060114,0.020921893458075456,0.2900345222927685,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,16,50,0.3249361272549512,0.30362026105085627,0.33572696501578114,0.1291666377060114,0.020921893458075456,0.3429897473500959,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,17,50,0.32162732350749795,0.30059250252142977,0.3322846564656009,0.16235781556893755,0.055452280893729916,0.3733617124306891,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,18,50,0.31934818489239475,0.2972872581106624,0.33135007900097535,0.1852202458978378,0.06482718772492077,0.40651718597687997,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,19,50,0.31934818489239475,0.2972872581106624,0.33135007900097535,0.1852202458978378,0.06482718772492077,0.40651718597687997,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,20,50,0.3184875966488542,0.2972872581106624,0.33135007900097535,0.19385295416289727,0.06482718772492077,0.40651718597687997,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,21,50,0.3184875966488542,0.2972872581106624,0.33135007900097535,0.19385295416289727,0.06482718772492077,0.40651718597687997,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,22,50,0.31738832909080295,0.29661182492982907,0.33043871580117923,0.20487989556620834,0.0739692282842738,0.41329257205313685,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,23,50,0.3159414877843488,0.2963324137630729,0.328510084284584,0.21939340884994735,0.09331566179476208,0.4160953933869284,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,24,50,0.3159414877843488,0.2963324137630729,0.328510084284584,0.21939340884994735,0.09331566179476208,0.4160953933869284,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,25,50,0.3149226430299855,0.29521475296787064,0.3277776500516729,0.2296136153166523,0.10066283520030427,0.4273068405066104,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,26,50,0.31385312239441077,0.2944936311470864,0.3268164025448167,0.24034216023889385,0.11030527379912343,0.4345405371659876,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,27,50,0.3123250633877244,0.2944936311470864,0.32386790995742665,0.25567038220280125,0.13988210862074354,0.4345405371659876,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,28,50,0.3098362426440337,0.2944936311470864,0.32386790995742665,0.2806361699248324,0.13988210862074354,0.4345405371659876,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,29,50,0.30221604631963095,0.2938698511171531,0.32291357986615676,0.3570756661470971,0.14945515743745308,0.44079778162685784,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,30,50,0.30221604631963095,0.2938698511171531,0.32291357986615676,0.3570756661470971,0.14945515743745308,0.44079778162685784,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,31,50,0.30221604631963095,0.2938698511171531,0.32291357986615676,0.3570756661470971,0.14945515743745308,0.44079778162685784,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,32,50,0.30064292496031564,0.2938698511171531,0.32291357986615676,0.3728559162985886,0.14945515743745308,0.44079778162685784,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,33,50,0.30064292496031564,0.2938698511171531,0.32291357986615676,0.3728559162985886,0.14945515743745308,0.44079778162685784,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,34,50,0.30064292496031564,0.2938698511171531,0.3218536099543918,0.3728559162985886,0.16008789741117335,0.44079778162685784,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,35,50,0.30064292496031564,0.2938698511171531,0.3218536099543918,0.3728559162985886,0.16008789741117335,0.44079778162685784,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,36,50,0.30064292496031564,0.2938698511171531,0.3218536099543918,0.3728559162985886,0.16008789741117335,0.44079778162685784,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,37,50,0.30064292496031564,0.2938698511171531,0.3201844840752043,0.3728559162985886,0.17683118536663636,0.44079778162685784,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,38,50,0.30064292496031564,0.2938698511171531,0.3201844840752043,0.3728559162985886,0.17683118536663636,0.44079778162685784,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
