mapping,family,objective,r2_hgb,lin_share,n_eff,top_share,nn_autocorr,nn_autocorr_mp_alloys,within_share,categorical_share,nn_dist_median,at_lowest_median,median,best,spearman_mae
identity,identity,mae,0.9926159719638062,0.6914311140844753,2.142146570146642,0.6592272811992581,0.8129742447779401,0.8228507887614992,0.0031929604709669537,0.21526377824649476,1.4794139164670987,17.0,0.9176883238554543,0.32613166956952927,1.0
identity,identity,runtime,0.9830983081638739,0.8913184328863907,3.508857643908243,0.3290157939799044,0.914080232779601,0.9250168199230773,0.011608028069492514,0.0013113004623571023,1.4794139164670987,17.0,220.62438268864466,34.91965445992104,-0.1972360067808088
identity,identity,model_size,0.9794120444040458,0.8680889351035274,2.216245841971785,0.587419644511782,0.9633508140157564,0.9308262658363703,,1.56550580666878e-06,1.4794139164670987,17.0,2012416.803348896,1945140.508768428,-0.1846705173806058
inverted,inverted,mae,0.9691835630745043,0.7705324989567114,5.539792524245139,0.2829368033993406,0.8847208022128823,0.8787392353752251,0.05027647414680004,0.32046490623555124,1.533870364322145,15.0,0.42805168588759085,0.21864171959509393,1.0
inverted,inverted,runtime,0.9820482532858534,0.8912565503793344,3.3976715669815483,0.3475214450705209,0.9246666282680394,0.9239999704090923,0.011205158944441643,6.12664294292793e-05,1.533870364322145,15.0,201.6487758222629,33.541711020726034,-0.5180916275566742
inverted,inverted,model_size,0.9796057336577504,0.8703914528390783,2.20565731586297,0.590082770190501,0.961359313370263,0.9327890702563351,,1.2935413011933962e-06,1.533870364322145,15.0,2008542.7927322371,1937368.0002396237,-0.18957765389743364
midpoint,midpoint,mae,0.9003001083823904,0.9188841596434562,6.320487030928164,0.27619088218725435,0.8970192245608261,0.9273199969561786,0.3377601353264017,0.9653997879232381,0.7302800028887031,0.0,0.3100301691982313,0.2763264684729118,0.9999999999999999
midpoint,midpoint,runtime,0.991709594427514,0.9218785829810281,3.3320930651325376,0.4063461948862471,0.9341759767307303,0.9340063559424668,0.06490152370984484,0.0003450271526776724,0.7302800028887031,0.0,179.90641093450347,126.20574277364344,-0.21282508423954144
midpoint,midpoint,model_size,0.9929241834934492,0.9829210317182923,2.690594059188685,0.4197205724025634,0.9550583803295998,0.955563368218109,,5.447176493358347e-06,0.7302800028887031,0.0,22044552.24427095,21912505.129552115,-0.030605619384209193
random mixing 0,random mixing,mae,0.821461067883874,0.786169401038363,15.116079232924939,0.11556637213745122,0.8507216252995197,0.8672058939525016,0.050463622510906705,0.7244643995091097,0.7484691278638826,0.0,0.31779801647948597,0.2406141288167453,0.9999999999999999
