orientation,objective,n_eff,top3,median,q10,q90,best,frac_mae_below_0.5,spearman_mae_runtime,spearman_mae_model_size
"box, no constraint",mae,5.568666348313876,"alpha 32%, emb_scaler 18%, epochs_step 17%",0.33396251666349763,0.26571959736308887,0.4947657586997559,0.18018180797001354,0.90505,-0.302348801656372,-0.08898109390545272
"box, no constraint",rmse,5.999565340946312,"alpha 30%, emb_scaler 18%, epochs_step 17%",0.7643167169603964,0.6559995193114663,1.0055873459886848,0.46881275495309005,0.90505,-0.302348801656372,-0.08898109390545272
"box, no constraint",runtime,3.5360885865529172,"batch_size 38%, N 27%, epochs_step 25%",234.42027984556762,100.32676040513097,618.2231706718499,34.509865338874285,0.90505,-0.302348801656372,-0.08898109390545272
"box, no constraint",model_size,2.667000540418069,"d_model 47%, N 35%, dim_feedforward 18%",20941580.252320614,6086669.5426938655,58464703.09814518,2032498.9626783454,0.90505,-0.302348801656372,-0.08898109390545272
current,mae,2.039174830877033,"alpha 67%, emb_scaler 19%, batch_size 3%",0.9165080310671607,0.6409075854799041,0.9326732226663556,0.255377369459273,0.0312,-0.13791854882192472,-0.16502030444679755
current,rmse,2.065449519920694,"alpha 65%, emb_scaler 24%, batch_size 3%",1.462238718537435,1.183191871560763,1.4719890561445919,0.6693322140933122,0.0312,-0.13791854882192472,-0.16502030444679755
current,runtime,3.4922705242388186,"batch_size 36%, N 33%, epochs_step 21%",220.5689361663627,112.46042613328765,341.39102479557437,34.75797319184168,0.0312,-0.13791854882192472,-0.16502030444679755
current,model_size,2.232940830445916,"d_model 58%, N 33%, dim_feedforward 6%",2021396.77453228,1982344.5351278663,3535302.157991833,1943639.1708677812,0.0312,-0.13791854882192472,-0.16502030444679755
neg_alpha,mae,2.085617229122956,"emb_scaler 68%, epochs_step 12%, batch_size 5%",0.6301860270185434,0.36255949694380885,0.6515455893612769,0.19830094761302905,0.2675,-0.36315875922011953,-0.006823476639914072
neg_alpha,rmse,2.0870720780940997,"emb_scaler 67%, epochs_step 15%, N 5%",1.167279179686564,0.8266431149242272,1.184158116627007,0.48685904880170733,0.2675,-0.36315875922011953,-0.006823476639914072
neg_alpha,runtime,3.467692102869492,"N 36%, batch_size 33%, epochs_step 22%",201.96449187342046,111.32942767465643,336.54550220953706,34.41829120447761,0.2675,-0.36315875922011953,-0.006823476639914072
neg_alpha,model_size,2.2248257845907107,"d_model 58%, N 33%, dim_feedforward 6%",2028960.209604507,1987410.487179829,3535726.818147797,1938752.3090165197,0.2675,-0.36315875922011953,-0.006823476639914072
+ neg_emb_scaler,mae,4.987881437139046,"N 35%, emb_scaler 19%, epochs_step 18%",0.42504560063031754,0.3573306871185158,0.4435561574309331,0.19412611402222096,0.99985,-0.4899557921201981,-0.23374660207253822
+ neg_emb_scaler,rmse,3.943948305304161,"N 42%, epochs_step 20%, emb_scaler 17%",0.9203150259294094,0.8059653439609652,0.947203771667647,0.4775613549668737,0.99985,-0.4899557921201981,-0.23374660207253822
+ neg_emb_scaler,runtime,3.4589471740488635,"N 36%, batch_size 33%, epochs_step 22%",201.75165024446088,111.13979897767226,337.14635449355376,33.32996709140499,0.99985,-0.4899557921201981,-0.23374660207253822
+ neg_emb_scaler,model_size,2.2100674182072657,"d_model 58%, N 33%, dim_feedforward 6%",2017969.4348570183,1977276.6531683272,3524041.0012193033,1933583.9654232163,0.99985,-0.4899557921201981,-0.23374660207253822
+ neg_epochs_step,mae,3.8583640446438667,"N 47%, weight_decay 11%, dim_feedforward 9%",0.3000100195440797,0.22293443341913657,0.3188487120817328,0.18250517684865866,1.0,-0.3908003293127633,-0.46825741887097727
+ neg_epochs_step,rmse,4.460800228156227,"N 32%, fudge 27%, weight_decay 21%",0.6164221120624618,0.5034980195846319,0.7290376593404679,0.4646344560964566,1.0,-0.3908003293127633,-0.46825741887097727
+ neg_epochs_step,runtime,2.856896946629711,"batch_size 53%, N 25%, epochs_step 9%",715.2659966048013,239.11637250047895,778.9268331362017,84.41629450868243,1.0,-0.3908003293127633,-0.46825741887097727
+ neg_epochs_step,model_size,2.2252328734802425,"d_model 58%, N 33%, dim_feedforward 6%",2009779.3590395101,1968785.2532540832,3518052.239699934,1919323.6598949833,1.0,-0.3908003293127633,-0.46825741887097727
